name,reference,unit,quantity,price,owner,caution_quantity,is_color,normalized_weight
"Metal Brite Liquid Metal Polish 1/2 Litro (16 Oz)","PS-RT12","unit",1.00,131500.00,"autodetailing",0,false,0
"Xpress Interior Cleaner 1 Gal","PS-G1301","unit",1.00,136000.00,"autodetailing",0,false,0
"Terminator Enzyem Spot Stain Remover 1 Galon","PS-G3101","unit",1.00,147000.00,"autodetailing",0,false,0
"Leather Cleaner 1 Litro (32 Oz)","PS-G1200","unit",1.00,123500.00,"autodetailing",0,false,0
"Leather Treatment 1/2 Litro (16 Oz)","PS-L610P","unit",1.00,51000.00,"autodetailing",0,false,0
"Paint Coating Surface Prep 1/2 Litro (16 Oz)","PS-C270P","unit",1.00,76700.00,"autodetailing",0,false,0
"Dynamic Dressing 1/2 Litro","PS-L440P","unit",1.00,96500.00,"autodetailing",0,false,0
"Plastic Bottle 32 Oz-1 Bot","PS-PB320","unit",2.00,15000.00,"autodetailing",0,false,0
"Chemical Resistant Grey Sprayer 1 Spray","PS-PB825","unit",2.00,21000.00,"autodetailing",0,false,0
"Acid Resistant Spray Bottle","PS-PB827","unit",2.00,23900.00,"autodetailing",0,false,0
"Foamer Chemical Resistant White Sprayer","PS-PF322","unit",2.00,17500.00,"autodetailing",0,false,0
"Tarro Plastico para Compuestos","SA-92-732-715","unit",1.00,14000.00,"autodetailing",0,false,0
"Dual Purpose Detailing Brush","SA-85-653","unit",1.00,15250.00,"autodetailing",0,false,0
"ESPUMADORA 150ml WG","WG-007","unit",1.00,16700.00,"autodetailing",0,false,0
"Detailing Brush Set 5 Piezas","HE-TT08","unit",2.00,35000.00,"autodetailing",0,false,0
"Brush & Trigger Holder","HE-TP48C","unit",1.00,139000.00,"autodetailing",0,false,0
"Carpet Bomber 1 Gal","PS-G3201","unit",1.00,137000.00,"autodetailing",0,false,0
