name,reference,unit,quantity,price,owner,caution_quantity,is_color,normalized_weight
"Kit de Cepillos de Detallado - 3 Cepillos","HE-704610","unit",1.00,55500.00,"autodetailing",0,false,0
"HDO Blue Heavy Polishing Pad 5.5","LC-HDO-93550","unit",1.00,89800.00,"autodetailing",0,false,0
"HDO Orange Polishing Pad 5.5","LC-HDO-23550","unit",1.00,89800.00,"autodetailing",0,false,0
"Work Stuff Foamer 150ml","WS-FOAM150","unit",1.00,34999.99,"autodetailing",0,false,0
"Dynamic Dressing 1/2 Litro","PS-L440P","unit",1.00,96500.00,"autodetailing",0,false,0
"Leather Cleaner 1 Litro (32 Oz)","PS-G120Q","unit",1.00,123500.00,"autodetailing",0,false,0
"SWIFT CLean N Shine Limpieza y Proteccion","PS-G290P","unit",1.00,67000.00,"autodetailing",0,false,0
"Plastic Bottle 32 Oz - 1 Bot","PS-PB320","unit",2.00,15500.00,"autodetailing",0,false,0
"Chemical Resistant Grey Sprayer 1 Spray","PS-PB825","unit",1.00,21000.00,"autodetailing",0,false,0
"Acid Resistant Spray Bottle","PS-PB827","unit",1.00,23900.00,"autodetailing",0,false,0
